dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size,size_bytes,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi
EEG2025r1,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1342}]","[{""val"": 100.0, ""count"": 1342}]",CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1
EEG2025r10,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 2516}]","[{""val"": 100.0, ""count"": 2516}]",CC-BY-SA 4.0,
EEG2025r10mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 220}]","[{""val"": 100.0, ""count"": 220}]",CC-BY-SA 4.0,
EEG2025r11,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 3397}]","[{""val"": 100.0, ""count"": 3397}]",CC-BY-SA 4.0,
EEG2025r11mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 220}]","[{""val"": 100.0, ""count"": 220}]",CC-BY-SA 4.0,
EEG2025r1mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 239}]","[{""val"": 100.0, ""count"": 239}]",CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1
EEG2025r2,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1405}]","[{""val"": 100.0, ""count"": 1405}]",CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1
EEG2025r2mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1
EEG2025r3,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1812}]","[{""val"": 100.0, ""count"": 1812}]",CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1
EEG2025r3mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1
